pdb_id,closest_mhc
5d2l,"['5tez', '3qdm', '8gon', '3d3v', '8gom', '2gj6', '6vm9', '3qdj', '6dkp', '6vm8', '6am5', '4l3e', '1lp9', '5yxn', '1bd2', '6rsy', '4ftv', '3utt', '7rm4', '8dnt', '6d78', '3h9s', '6rp9', '5c0b', '6vm7', '6vma', '6vmc', '3pwp', '7q9b', '3qdg', '5isz', '2f53', '3d39', '3qeq', '3qfj', '7phr']"
6r2l,"['5nmf', '5nmg', '5men', '5nme', '3o4l', '4mnq', '7q99', '5c08', '3hg1', '6tmo', '5c09', '2vlj', '5hho', '2p5e', '2vlk', '1oga', '3uts', '6rpa', '7qpj', '2p5w', '2pye', '5eu6', '7pbc', '4qok', '2vlr', '6eqb', '7pbe', '6eqa', '7q9a', '4jfd', '2bnq', '4jfe', '7pdw', '5c0c', '5c0a', '5c07', '2bnr', '4jff', '5hyj']"
6rp9,"['5tez', '3qdm', '8gon', '3d3v', '8gom', '2gj6', '6vm9', '3qdj', '6dkp', '6vm8', '6am5', '4l3e', '1lp9', '5yxn', '1bd2', '6rsy', '4ftv', '3utt', '7rm4', '8dnt', '6d78', '3h9s', '5c0b', '6vm7', '6vma', '6vmc', '3pwp', '7q9b', '3qdg', '5isz', '2f53', '3d39', '3qeq', '3qfj', '7phr']"
6vqo,"['6tro', '6vrm', '5d2n']"
7r80,"['3mv9', '3mv8', '8en8', '4prp', '3mv7', '2nx5', '4qrr']"
3kpr,"['3dxa', '3kps']"
7n2p,"['8cx4', '7n2o', '7n2q', '7n2s']"
7pb2,['7ow5']
1nam,['3rgv']
3dxa,"['3kpr', '3kps']"
7ow6,['7ow5']
6uon,['6uln']
7pbe,"['5nmf', '5nmg', '5men', '5nme', '3o4l', '4mnq', '7q99', '5c08', '3hg1', '6tmo', '5c09', '2vlj', '5hho', '2p5e', '2vlk', '1oga', '3uts', '6rpa', '7qpj', '2p5w', '2pye', '5eu6', '7pbc', '6r2l', '4qok', '2vlr', '6eqb', '6eqa', '7q9a', '4jfd', '2bnq', '4jfe', '7pdw', '5c0c', '5c0a', '5c07', '2bnr', '4jff', '5hyj']"
7n2s,"['8cx4', '7n2o', '7n2q']"
8d5q,"['3e3q', '3tjh', '3e2h', '2oi9']"
3tpu,"['3e3q', '3tjh', '3e2h', '2oi9']"
7n2r,"['8cx4', '7n2o', '7n2q', '7n2s']"
6avg,['6vmx']
3vxm,"['3vxs', '3vxr', '3vxu', '8gvi', '5xov', '8gvg']"
6avf,['6vmx']
5sws,"['7jwi', '5swz']"
3pwp,"['5tez', '3qdm', '8gon', '3d3v', '8gom', '2gj6', '6vm9', '3qdj', '6dkp', '6vm8', '6am5', '4l3e', '1lp9', '5yxn', '1bd2', '6rsy', '4ftv', '3utt', '7rm4', '8dnt', '6d78', '3h9s', '6rp9', '5c0b', '6vm7', '6vma', '6vmc', '7q9b', '3qdg', '5isz', '2f53', '3d39', '3qeq', '3qfj', '7phr']"
7q9b,"['5tez', '3qdm', '8gon', '3d3v', '8gom', '2gj6', '6vm9', '3qdj', '6dkp', '6vm8', '6am5', '4l3e', '1lp9', '5yxn', '1bd2', '6rsy', '4ftv', '3utt', '7rm4', '8dnt', '6d78', '3h9s', '6rp9', '5c0b', '6vm7', '6vma', '6vmc', '3pwp', '3qdg', '5isz', '2f53', '3d39', '3qeq', '3qfj', '7phr']"
3ffc,"['3sjv', '1mi5']"
5isz,"['5tez', '3qdm', '8gon', '3d3v', '8gom', '2gj6', '6vm9', '3qdj', '6dkp', '6vm8', '6am5', '4l3e', '1lp9', '5yxn', '1bd2', '6rsy', '4ftv', '3utt', '7rm4', '8dnt', '6d78', '3h9s', '6rp9', '5c0b', '6vm7', '6vma', '6vmc', '3pwp', '7q9b', '3qdg', '2f53', '3d39', '3qeq', '3qfj', '7phr']"
4g8g,['4g9f']
7byd,"['8cx4', '7n2o', '7n2q', '7n2s', '4g8g', '4g9f']"
4qrp,"['3sjv', '1mi5', '3ffc']"
7dzn,"['3sjv', '1mi5', '3ffc']"
1g6r,['2ckb']
7phr,"['5tez', '3qdm', '8gon', '3d3v', '8gom', '2gj6', '6vm9', '3qdj', '6dkp', '6vm8', '6am5', '4l3e', '1lp9', '5yxn', '1bd2', '6rsy', '4ftv', '3utt', '7rm4', '8dnt', '6d78', '3h9s', '6rp9', '5c0b', '6vm7', '6vma', '6vmc', '3pwp', '7q9b', '3qdg', '5isz', '2f53', '3d39', '3qeq', '3qfj']"
6p64,"['5tez', '3qdm', '8gon', '3d3v', '8gom', '2gj6', '6vm9', '3qdj', '6dkp', '6vm8', '6am5', '4l3e', '1lp9', '5yxn', '1bd2', '6rsy', '4ftv', '3utt', '7rm4', '8dnt', '6d78', '3h9s', '6rp9', '5c0b', '6vm7', '6vma', '6vmc', '3pwp', '7q9b', '3qdg', '5isz', '2f53', '3d39', '3qeq', '3qfj', '7phr']"
2nx5,"['3mv9', '3mv8', '8en8', '4prp', '3mv7', '4qrr']"
4qrr,"['3mv9', '3mv8', '8en8', '4prp', '3mv7', '2nx5']"
8shi,"['6uln', '6uon']"
